序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
154129,猎聘,能源/化工/环保,化学,研发岗（有机化学合成）,企业职位,博格隆(浙江)生物技术有限公司,100-499人,,武汉,嘉兴,硕士,经验不限,10-13k,,,,https://www.liepin.com/job/1954281251.shtml,20240124091946,,,,
154130,猎聘,能源/化工/环保,化学,药物化学研究,企业职位,杭州肽佳生物科技有限公司,1-49人,,武汉,杭州-滨江区,本科,经验不限,6-12k·13薪,,,,https://www.liepin.com/job/1955015697.shtml,20230423145413,,,,
154131,猎聘,能源/化工/环保,化学,化学工程师,企业职位,科米诺新材料科技(浙江)有限公司,50-99人,,武汉,衢州-常山县,本科,3-5年,10-15k,,,,https://www.liepin.com/job/1961172811.shtml,20231124145307,,,,
154132,猎聘,能源/化工/环保,化学,危险化学品押运员,企业职位,浙江威宝高科涂料有限公司,100-499人,,武汉,宁波,中专/中技,1-3年,6-9k,,,,https://www.liepin.com/job/1967712773.shtml,20240615084559,,,,
154133,猎聘,能源/化工/环保,化学,化学实验室经理,企业职位,启迈(杭州)检测有限公司,100-499人,,武汉,杭州-滨江区,本科,5-10年,薪资面议,,,,https://www.liepin.com/job/1934580757.shtml,20210125111419,,,,
154134,猎聘,能源/化工/环保,化学,化学合成研发工程师,企业职位,浙江辉凯鼎瑞新材料有限公司,1-49人,,武汉,杭州-余杭区,硕士,经验不限,8-16k·13薪,,,,https://www.liepin.com/job/1941995149.shtml,20220506152753,,,,
154135,猎聘,能源/化工/环保,化学,化学镀镍操作师傅,企业职位,台州涌恩化学镀有限公司,1-49人,,武汉,台州-路桥区,博士,经验不限,10-15k,,,,https://www.liepin.com/job/1955633449.shtml,20230130165637,,,,
154136,猎聘,能源/化工/环保,化学,化学实验室检测工程师,企业职位,启迈(杭州)检测有限公司,100-499人,,武汉,杭州-滨江区,本科,1-3年,5-10k,,,,https://www.liepin.com/job/1949245961.shtml,20220426142939,,,,
154137,猎聘,能源/化工/环保,化学,化学仪表维护技术员,企业职位,浙江赫能环境科技有限公司,1-49人,,武汉,杭州-萧山区,大专,1-3年,5-9k,,,,https://www.liepin.com/job/1953849819.shtml,20221111162817,,,,
154138,猎聘,能源/化工/环保,化学,危险化学品车辆司机,企业职位,浙江威宝高科涂料有限公司,100-499人,,武汉,宁波,中专/中技,1-3年,8-12k,,,,https://www.liepin.com/job/1967712677.shtml,20240615082940,,,,
154139,猎聘,能源/化工/环保,化学,化学实验室技术员,企业职位,杭州肽佳生物科技有限公司,1-49人,,武汉,杭州-滨江区,本科,经验不限,6-12k,,,,https://www.liepin.com/job/1955015689.shtml,20230423145413,,,,
154140,猎聘,能源/化工/环保,化学,化学仪表维护技术员,企业职位,浙江赫能环境科技有限公司,1-49人,,武汉,宁波-镇海区,大专,1-3年,5-9k,,,,https://www.liepin.com/job/1953850029.shtml,20221111163044,,,,
154141,猎聘,能源/化工/环保,化学,有机化学,企业职位,桐乡市龙翔纺织有限责任公司,500-999人,,武汉,嘉兴-桐乡,大专,经验不限,5-7k,,,,https://www.liepin.com/job/1945252667.shtml,20220224094138,,,,
154142,猎聘,能源/化工/环保,化学,化学分析,企业职位,杭州烯鲸新材料科技有限公司,1-49人,,武汉,杭州-萧山区,大专,1-3年,5-10k,,,,https://www.liepin.com/job/1931718989.shtml,20220104164827,,,,
154143,猎聘,能源/化工/环保,化学,化学分析,企业职位,浙江月旭材料科技有限公司,50-99人,,武汉,金华,大专,经验不限,4-6k·14薪,,,,https://www.liepin.com/job/1935099197.shtml,20210114152735,,,,
154144,猎聘,能源/化工/环保,化学,化学研发总监,企业职位,某国内制药上市公司,2000-5000人,,武汉,杭州-萧山区,硕士,5年以上,45-70k,,,,https://www.liepin.com/a/76601505.shtml,20260609185852,,,,
154145,猎聘,能源/化工/环保,化学,化学分析测试员,企业职位,某知名公司,10000人以上,,武汉,台州,大专,1-3年,15-30k·14薪,,,,https://www.liepin.com/a/76548773.shtml,20260608195604,,,,
154146,猎聘,能源/化工/环保,化学,高中各科目教师（历史、数学、化学）,企业职位,某国内专业服务公司,100-499人,,武汉,杭州-拱墅区,统招本科,5-10年,15-25k,,,,https://www.liepin.com/a/74553337.shtml,20260608170732,,,,
154147,猎聘,能源/化工/环保,化学,AP化学老师/AP chemistry teacher,企业职位,狄邦教育集团,1000-2000人,,武汉,杭州-拱墅区,统招本科,3-5年,10-20k,,,,https://www.liepin.com/job/1961530293.shtml,20240422152733,,,,
154148,猎聘,能源/化工/环保,化学,材料科学与工程、化学博士,企业职位,浙江大学台州研究院,100-499人,,武汉,台州-椒江区,博士,经验不限,25-30k,,,,https://www.liepin.com/job/1966688533.shtml,20260601112652,,,,
154149,猎聘,能源/化工/环保,化学,动力工程及工程热物理、材料科学与工程、环境科学与工程、化学、化学工程与技术博士,企业职位,浙江大学台州研究院,100-499人,,武汉,台州-椒江区,博士,经验不限,25-30k,,,,https://www.liepin.com/job/1966688567.shtml,20260601112652,,,,
154150,猎聘,能源/化工/环保,化学,化学合成技术员,企业职位,恒敬合创生物医药(浙江)有限公司,100-499人,,武汉,嘉兴-南湖区,大专,1-3年,5-8k,,,,https://www.liepin.com/job/1980916961.shtml,20260313151231,,,,
154151,猎聘,能源/化工/环保,化学,生物医学工程、材料科学与工程、化学、物理学等相关专业博士,企业职位,浙江大学台州研究院,100-499人,,武汉,台州-椒江区,博士,经验不限,25-30k,,,,https://www.liepin.com/job/1966688621.shtml,20260601112652,,,,
154152,猎聘,能源/化工/环保,化学,寒暑假高中英语/化学/历史学科老师,企业职位,某杭州大型IT服务公司,5000-10000人,,武汉,杭州,本科,10年以上,15-25k·13薪,,,,https://www.liepin.com/a/73449939.shtml,20260316215026,,,,
154153,猎聘,能源/化工/环保,化学,汽车化学法规工程师,企业职位,钛和检测认证集团股份有限公司,2000-5000人,,武汉,杭州-钱塘区,本科,3年以上,15-25k,,,,https://www.liepin.com/job/1978865193.shtml,20260529132323,,,,
154154,猎聘,能源/化工/环保,化学,普高科学（物理、化学、生物）教师,企业职位,耀华国际教育,1000-2000人,,武汉,嘉兴-桐乡,本科,1-3年,10-20k,,,,https://www.liepin.com/job/1974511107.shtml,20260420104744,,,,
154155,猎聘,能源/化工/环保,化学,A-LEVEL双语理科教师（物理化学数学）,企业职位,海亮教育科技服务集团,10000人以上,,武汉,绍兴-诸暨,统招本科,经验不限,12-22k,,,,https://www.liepin.com/job/1929216899.shtml,20260422100234,,,,
154156,猎聘,能源/化工/环保,化学,化学气相沉积工艺工程师/CVD PE(J10011),企业职位,芯联集成电路制造股份有限公司,2000-5000人,,武汉,绍兴-越城区,本科,2年以上,10-20k,,,,https://www.liepin.com/job/1979026339.shtml,20251209164220,,,,
154157,猎聘,能源/化工/环保,化学,国际高中IGCSE/A-Level化学双语教师,企业职位,温州森马协和国际学校,100-499人,,武汉,温州-瓯海区,本科,3-5年,12-25k,,,,https://www.liepin.com/job/1962283059.shtml,20260413110349,,,,
154158,猎聘,能源/化工/环保,化学,CMP PE/化学机械抛光工艺工程师(J10176),企业职位,芯联集成电路制造股份有限公司,2000-5000人,,武汉,绍兴-越城区,本科,2年以上,10-20k,,,,https://www.liepin.com/job/1979022423.shtml,20251209154119,,,,
154159,猎聘,能源/化工/环保,化学,采购专员（化学方向）,企业职位,河南逸祥卫生科技有限公司,2000-5000人,,武汉,杭州-滨江区,本科,3-5年,6-9k,,,,https://www.liepin.com/job/1983177255.shtml,20260605094251,,,,
154160,猎聘,能源/化工/环保,化学,计量校准工程师（几何量/热工/力学/化学/电学/医疗）,企业职位,深检集团(浙江)质量技术服务有限公司,100-499人,,武汉,绍兴-越城区,硕士,1-3年,7-12k,,,,https://www.liepin.com/job/1978080173.shtml,20251117143321,,,,
154161,猎聘,能源/化工/环保,化学,化学分析研究员,企业职位,浙江湃肽生物股份有限公司,100-499人,,武汉,杭州-钱塘区,统招本科,3-5年,6-13k·13薪,,,,https://www.liepin.com/job/1964667509.shtml,20260323162701,,,,
154162,猎聘,能源/化工/环保,化学,化学原料药销售,企业职位,安信医药,100-499人,,武汉,杭州-拱墅区,大专,1-3年,6-14k·13薪,,,,https://www.liepin.com/job/1965099815.shtml,20240507171619,,,,
154163,猎聘,能源/化工/环保,化学,化学检测销售经理,企业职位,广电计量检测集团股份有限公司,2000-5000人,,武汉,杭州-钱塘区,大专,3-5年,10-15k,,,,https://www.liepin.com/job/1947627819.shtml,20260409102944,,,,
154164,猎聘,能源/化工/环保,化学,化学分析员,企业职位,浙江洁华新材料股份有限公司,100-499人,,武汉,绍兴-上虞区,统招本科,1-3年,5-8k,,,,https://www.liepin.com/job/1978634289.shtml,20260105132003,,,,
154165,猎聘,能源/化工/环保,化学,分子生物学与蛋白质化学实验员,企业职位,拿因生物,1-49人,,武汉,杭州-余杭区,硕士,3-5年,15-18k·14薪,,,,https://www.liepin.com/job/1956071703.shtml,20231012150023,,,,
