序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
7748,猎聘,能源/化工/环保,矿山,采矿技术员,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城-宣州区,本科,3-5年,8-16k·13薪,,,,https://www.liepin.com/job/1976216021.shtml,20251119144637,,,,
7749,猎聘,能源/化工/环保,矿山,矿长（单间，有分红）,企业职位,某国内专业服务公司,50-99人,,西安,六安,大专,10年以上,25-26k,,,,https://www.liepin.com/a/75456569.shtml,20260608105400,,,,
7750,猎聘,能源/化工/环保,矿山,销售经理,企业职位,某合肥互联网公司,100-499人,,西安,合肥,学历不限,5-10年,15-20k,,,,https://www.liepin.com/a/74648875.shtml,20260415092015,,,,
7751,猎聘,能源/化工/环保,矿山,调度工程师,企业职位,安徽海螺集团,10000人以上,,西安,芜湖-繁昌区,大专,1年以下,7-15k·16薪,,,,https://www.liepin.com/job/1980409269.shtml,20260225165352,,,,
7752,猎聘,能源/化工/环保,矿山,系统架构师,企业职位,安徽海螺集团,10000人以上,,西安,芜湖-繁昌区,本科,5年以上,15-45k·16薪,,,,https://www.liepin.com/job/1980408755.shtml,20260316163841,,,,
7753,猎聘,能源/化工/环保,矿山,电气工程师：煤矿防爆开关技术研发,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,淮南-田家庵区,统招本科,10年以上,20-50k,,,,https://www.liepin.com/job/1983227723.shtml,20260607230530,,,,
7754,猎聘,能源/化工/环保,矿山,测绘/测量,企业职位,安徽庐江龙桥矿业股份有限公司,500-999人,,西安,合肥-庐江县,统招本科,经验不限,6-10k,,,,https://www.liepin.com/job/1978567277.shtml,20251202152701,,,,
7755,猎聘,能源/化工/环保,矿山,销售经理/工程师（工业水）,企业职位,朝晖过滤,2000-5000人,,西安,淮南-田家庵区,大专,5-10年,12-20k,,,,https://www.liepin.com/job/1970249163.shtml,20260108134016,,,,
7756,猎聘,能源/化工/环保,矿山,环境/健康/安全管理,企业职位,中国南玻集团股份有限公司,10000人以上,,西安,滁州-凤阳县,本科,3年以上,8-10k,,,,https://www.liepin.com/job/1973237023.shtml,20250707133844,,,,
7757,猎聘,能源/化工/环保,矿山,测量助理工程师/测量工程师,企业职位,中国南玻集团股份有限公司,10000人以上,,西安,滁州-凤阳县,本科,2年以上,6-9k,,,,https://www.liepin.com/job/1975629093.shtml,20250708145715,,,,
7758,猎聘,能源/化工/环保,矿山,销售专员,企业职位,合肥奥博特自动化设备有限公司,100-499人,,西安,合肥-新站区,大专,2年以上,5-10k,,,,https://www.liepin.com/job/1978399513.shtml,20251112103018,,,,
7759,猎聘,能源/化工/环保,矿山,爆破工程师,企业职位,铜陵华金矿业有限责任公司,100-499人,,西安,铜陵-铜官区,大专,3年以上,8-12k,,,,https://www.liepin.com/job/1975438485.shtml,20260107160627,,,,
7760,猎聘,能源/化工/环保,矿山,旗杆楼铁矿机电工程师/技术员,企业职位,宿州煤电(集团)有限公司,5000-10000人,,西安,宿州-萧县,本科,3-5年,10-15k,,,,https://www.liepin.com/job/1963418965.shtml,20240425165527,,,,
7761,猎聘,能源/化工/环保,矿山,生产运营部副经理,企业职位,滁州市兴天矿业有限公司,50-99人,,西安,滁州-天长,统招本科,5-10年,12-15k,,,,https://www.liepin.com/job/1965906937.shtml,20240401091139,,,,
7762,猎聘,能源/化工/环保,矿山,水工环地质相关专业技术员朝九晚五,企业职位,安徽天泽地矿科技有限公司,1-49人,,西安,合肥-包河区,学历不限,1-3年,8-15k,,,,https://www.liepin.com/job/1954764865.shtml,20221130175038,,,,
7763,猎聘,能源/化工/环保,矿山,朝九晚五双休水工环地质相关专业技术员,企业职位,安徽天泽地矿科技有限公司,1-49人,,西安,合肥-包河区,学历不限,1-3年,8-15k,,,,https://www.liepin.com/job/1954764781.shtml,20221130175021,,,,
7764,猎聘,能源/化工/环保,矿山,水工环地质相关专业技术员双休,企业职位,安徽天泽地矿科技有限公司,1-49人,,西安,合肥-包河区,学历不限,1-3年,8-15k,,,,https://www.liepin.com/job/1954764821.shtml,20221130175028,,,,
7765,猎聘,能源/化工/环保,矿山,双休朝九晚五水工环地质相关专业技术员,企业职位,安徽天泽地矿科技有限公司,1-49人,,西安,合肥-包河区,学历不限,1-3年,8-15k,,,,https://www.liepin.com/job/1954765131.shtml,20221130175129,,,,
7766,猎聘,能源/化工/环保,矿山,面议水工环地质相关专业技术员,企业职位,安徽天泽地矿科技有限公司,1-49人,,西安,合肥-包河区,学历不限,1-3年,8-15k,,,,https://www.liepin.com/job/1954764619.shtml,20221130174949,,,,
7767,猎聘,能源/化工/环保,矿山,电工,企业职位,池州市银龙矿业集团有限公司,100-499人,,西安,池州,学历不限,3-5年,6-9k,,,,https://www.liepin.com/job/1964255091.shtml,20240116150752,,,,
7768,猎聘,能源/化工/环保,矿山,董事长助理,企业职位,某国内人力资源服务公司,50-99人,,西安,池州,学历不限,3-5年,16-17k,,,,https://www.liepin.com/a/74067295.shtml,20260331103258,,,,
7769,猎聘,能源/化工/环保,矿山,采矿工程师,企业职位,广州某建设工程有限公司,50-99人,,西安,宣城,学历不限,5-10年,15-16k,,,,https://www.liepin.com/a/73460981.shtml,20260609092754,,,,
7770,猎聘,能源/化工/环保,矿山,选矿工程师,企业职位,某国内人力资源服务公司,50-99人,,西安,铜陵,大专,经验不限,15-20k,,,,https://www.liepin.com/a/75954667.shtml,20260609185126,,,,
