序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,薪资,学历,工作经验,发布日期,福利标签,工作内容,任职要求,技能标签,公司行业,岗位链接
1231,猎聘,能源/化工/环保,输电,新能源线路结构主任设计管理岗,企业,某国内大型机械制造公司,10000人以上,上海-徐汇区,上海-徐汇区,上海-徐汇区,30-50k,本科,5-10年,20260601133747,15薪 / 13薪 / 16薪 / 14薪 / 带薪年假 / 五险一金 / 五险,"要求：
负责东南亚新能源项目（风电或光伏）的线路结构勘察设计管理工作，包括场内集电线路及送出线路等；
负责东南亚新能源项目（风电或光伏）前期项目踏勘、颠覆性风险收集及评估，制定初步方案，评估方案工程可行性及经济性；
负责东南亚新能源项目（风电或光伏）线路结构设计全流程的组织与管理；
负责东南亚新能源项目（风电或光伏）线路结构设计技术审查、优化降本；
负责东南亚新能源项目（风电或光伏）线路结构设计进度、质量管控；
负责新能源项目（风电或光伏）企业海外项目线路结构技术管理体系的建立、更新、维护、应用；
负责新能源项目（风电或光伏）企业海外项目线路结构管理流程机制建设和优化，技术专题研究和日常管理工作。","良好的英语口语水平，具备3年及以上东南亚或其他海外区域线路结构设计经历，熟悉线路结构设计、建设、验收流程及标准，具有大型设计院设总经验优先；
线路工程、土木工程、电力工程、工业与民用建筑等相关结构专业985/211高校毕业的硕士及以上学历；有留学经历着更加；
熟练掌握PLSTower、standpro、道亨、Smart Tower、Tfod、百合、AutoCAD软件、Word、Excel、PPT等国内及国外办公计算软件；
熟悉东南亚等国外设计规范标准及当地政策要求；
熟悉东南亚等国外勘查技术标准；
具备独立线路结构专项设计能力；
具备自我驱动力强，优秀的逻辑能力、沟通能力及较强的抗压能力。
务实、本分的为人风格。
 查看全部",jQuery / 英语 / AutoCAD / Go / React / CAD / Java / CSS / PMP / AI / Excel / HTML / JavaScript / UG,机械/设备,https://www.liepin.com/a/74357233.shtml
1232,猎聘,能源/化工/环保,输电,电气二次设计,企业,远景科技集团,5000-10000人,上海-黄浦区,上海-黄浦区,上海-黄浦区,1-2k,本科,5-10年,20260323150122,13薪 / 15薪 / 14薪 / 16薪,"：
1. 负责公司国内外风光储项目变电站电气二次技术管理工作，包括对外委设计院各阶段（初步设计、工程招标、设备招标和施工图等）成果的技术审核、方案优化、进度把控、内外部技术协调配合等；
2. 负责以设计经理角色管理所辖海外风光储项目全过程设计管理工作，包括设计计划制定、设计进度管理、设计变更管理、主持技术方案评审、对外技术接口与沟通、内外部组织协调等全流程管控。
3. 主导国内变电站工程的可研报告、初步设计及施工图设计，编制技术协议、招投标文件，并协调施工交底、竣工验收等全流程技术支持；负责公司各项目在电气二次专业上重大问题的技术解决方案与技术支持；
4. 跨专业协作，与系统、电一、线路、土建、通信、技经等专业团队协作；
5. 配合完成部门/专业技术和业务管理的部分工作；负责牵头组织制定电气二次产品 SC(Should Cost)成本模型，依据 SC 规划电气产品降本方向。
6. 负责完善公司电气二次专业的标准化工作，包括设计管理和技术标准等。","1. 电气工程及其自动化、电气工程、高电压与绝缘技术、电力系统及其自动化等专业或其他相关专业，本科及以上学历，985或211院校优先；
2. 熟练掌握AutoCAD，能够独立完成220kV及以上电压等级变电站的电气二次设计工作，有较深层次的专业技术深度，能主导风光储变电站电气二次设计方案和独立解决各项技术问题的能力。
3. 具备 5年以上变电站电气二次设计工作经验，有风电、光伏、储能等设计院从业经历优先，熟悉国家电力行业及海外变电电气二次专业规程规范和强条，了解行业前沿技术，熟悉或了解电气二次关联工程施工和验收质量标准；
4. 熟悉全流程（可研→初设→施工→验收），具备解决复杂问题能力，适应国内和海外项目出差；
5. 英语六级及相应水平以上，能够阅读英文技术规范（如IEC、UL标准），理解国际项目文件；口语流利，能够与海外业主、客户正常沟通 技术问题无障碍，具有注册电气工程师（供配电或发输电）等优先。
6. 具备良好的职业道德修养和高度责任心、有较强的抗压能力和坚韧不拔的精神。
7. 优秀的逻辑思维、分析能力、沟通能力、解决问题能力。
 查看全部",jQuery / 英语 / AutoCAD / Go / React / CAD / CSS / PMP / AI / 英语六级 / HTML / 项目管理 / UG,新能源,https://www.liepin.com/job/1981158777.shtml
1233,猎聘,能源/化工/环保,输电,技术研发工程师,企业,上海海能信息科技股份有限公司,100-499人,上海-浦东新区,上海-浦东新区,上海-浦东新区,12-20k·14薪,硕士,3年以上,20260610083237,15薪 / 通讯津贴 / 餐费补贴 / 13薪 / 弹性工作 / 14薪 / 带薪年假 / 五险一金 / 发展空间大 / 住房补贴 / 交通补助 / 定期体检 / 绩效奖金 / 五险,"：
1、负责开展行业应用技术研究，为公司的产品规划和技术预研提供专业技术支持。
2、参与公司新产品、新项目立项评估，提供技术可行性分析支持。
3、负责新产品整体技术方案设计，实施研发项目过程技术评审，并对开发工程师提供重难点问题攻关技术支持，推动新产品开发和商业转化。
4、负责技术文档、新产品鉴定、用户手册建立，推动公司的知识产权开发。
5、负责提供销售赋能支持：提供客户交流、解决方案及新产品推广技术支持，科技项目的技术标书和技术可行性报告支持，促进新产品和销售项目商业转化。","1、硕士及以上学历，电气工程及自动化相关专业，3年以上相关工作经验。
2、熟悉研发项目管理流程，具有新产品开发或产品迭代开发的项目成功经验。熟悉电气行业及国家、IEC相关标准者优先。
3、具有扎实的电力系统电气理论知识，例如变压器、输电线路原理及技术。
 查看全部",jQuery / Go / React / CSS / PMP / AI / HTML / 项目管理 / UG,仪器仪表,https://www.liepin.com/job/1977358715.shtml
1234,猎聘,能源/化工/环保,输电,大客户经理KA,企业,上海海能信息科技股份有限公司,100-499人,上海-浦东新区,上海-浦东新区,上海-浦东新区,8-15k,大专,3年以上,20260610083237,15薪 / 通讯津贴 / 餐费补贴 / 13薪 / 弹性工作 / 14薪 / 带薪年假 / 五险一金 / 居家办公 / 发展空间大 / 住房补贴 / 交通补助 / 定期体检 / 绩效奖金 / 五险,"：
面向全国电力行业大客户（国网/南网）和变电、输电、配电智能监测类专业解决方案和产品，开展商机捕获、客户开发、项目运作、客户订单执行管理工作，具体负责：
1、负责开展市场调查，实施客户分析、目标客户梳理和竞争分析，为公司的产品规划和销售策略提供支持。
2、负责承接团队业绩目标，制定客户开发、项目管理、销售与服务计划与策略，执行项目过程工作报告，推动项目落地和销售目标实现。
3、负责组织开展必要的客户技术交流和服务，实施解决方案和产品及公司品牌推广工作。
4、负责客户订单获取，组织落实客户订单交付、服务，执行销售回款。","1、大专及以上学历，3年及以上电力行业大客户销售工作经验。
2、熟悉电力行业业务模式和项目管理流程，具有客户项目开发或维护的成功经验。
3、乐观自信，结果导向，具备强烈的进取心。良好的服务意识、人际互动、市场洞察、商务谈判和应变能力。
【注：适应出差，可居家办公模式；月薪+销售业绩奖金模式，上不封顶】
 查看全部",jQuery / Go / React / CSS / PMP / AI / HTML / 项目管理 / UG,仪器仪表,https://www.liepin.com/job/1977355281.shtml
1235,猎聘,能源/化工/环保,输电,大客户销售经理,企业,上海海能信息科技股份有限公司,100-499人,上海-浦东新区,上海-浦东新区,上海-浦东新区,8-15k,大专,3年以上,20260610083237,15薪 / 通讯津贴 / 餐费补贴 / 13薪 / 16薪 / 弹性工作 / 双休 / 14薪 / 带薪年假 / 五险一金 / 周末双休 / 发展空间大 / 住房补贴 / 交通补助 / 居家办公 / 定期体检 / 绩效奖金 / 五险,"：
面向新能源发电行业和变电、输电、配电智能监测解决方案与产品，开展商机捕获、客户开发、项目运作、客户订单执行管理工作，具体负责：
1、负责开展市场调查，实施客户分析、目标客户梳理和竞争分析，为公司的产品规划和销售策略提供支持。
2、负责承接团队业绩目标，制定客户开发、项目管理、销售与服务计划与策略，执行项目过程工作报告，推动项目落地和销售目标实现。
3、负责组织开展必要的客户技术交流和服务，实施解决方案和产品及公司品牌推广工作。
4、负责客户订单获取，组织落实客户订单交付、服务，执行销售回款。","1、大专及以上学历，3年及以上电力行业大客户销售工作经验。
2、熟悉电力行业业务模式和项目管理流程，具有客户项目开发或维护的成功经验。
3、乐观自信，结果导向，具备强烈的进取心。良好的服务意识、人际互动、市场洞察、商务谈判和应变能力。
【注：适应出差，可居家办公模式；月薪+销售业绩奖金模式，上不封顶】
 查看全部",jQuery / Go / React / CSS / PMP / AI / HTML / 项目管理 / UG,仪器仪表,https://www.liepin.com/job/1977355437.shtml
1236,猎聘,能源/化工/环保,输电,电气一次主任设计师,企业,上海电气电站集团,10000人以上,上海市,上海,上海,薪资面议,统招本科,3年以上,20241226140827,15薪 / 通讯津贴 / 餐费补贴 / 年终奖 / 16薪 / 管理规范 / 公司规模大 / 岗位晋升 / 年终奖金 / 五险一金 / 带薪年假 / 14薪 / 国际化管理 / 外派津贴 / 五险,"：
1、作为主任设计师，能独立完成大型发变电项目电气设计。
2、作为技术代表，能独立参加海内外发电工程总承包（EPC）项目投标:牵头组织投标技术方案编制、投标技术方案成本核算等；
3、执行海内外发电工程总承包（EPC）项目：负责编制项目采购技术文件、对接供应商的技术沟通与确认、审核供应商技术资料；对接海内外分包商日常协调及沟通、跟踪其设计进度及质量；
4.负责所参与项目的电气一次专业设计、设计管理、设计审核、设计缺陷修复等；参与客户沟通，跟踪客户批图进度，组织与客户的设计联络会、技术沟通等；负责所参与项目的技术及技术文件管理；
5.能适应海外及国内短期出差；","1、有国内设计院工作经历，注册咨询师或注册电气师（发输电）优先
2、有风电光伏储能设计经验，线路电气或独立变电站设计业绩且已投产，相关设计工作经验3年以上
 查看全部",jQuery / Go / React / CSS / PMP / AI / HTML / UG,机械/设备,https://www.liepin.com/job/1964527871.shtml
1237,猎聘,能源/化工/环保,输电,能源电力解决方案,企业,零数科技,100-499人,上海-浦东新区,上海-浦东新区,上海-浦东新区,30-45k,本科,5-10年,20250923134419,15薪 / 年终奖 / 双休 / 五险 / 期权 / 13薪 / 岗位晋升 / 绩效奖金 / 聚餐 / 优秀员工奖 / 16薪 / 18薪 / 团队聚餐 / 五险一金 / 节日礼物 / 子女福利 / 股票期权 / 14薪 / 定期体检 / 年终奖金,"1. 需求分析与方案设计：深入对接国家电网和国家能源数据中心，全面了解其在能源电力领域的业务现状、痛点及数字化转型需求；基于对客户需求的精准把握，结合公司的数字化技术能力，设计涵盖能源电力数据管理、智能运维、电力交易辅助决策等场景的数字化解决方案，方案需充分考虑系统兼容性、可扩展性及安全性 。
 2. 项目投标与技术支持：解读涉及能源电力数字化项目的招标文件，主导投标技术文件的编制工作，包括设计详细的业务架构、应用架构、数据架构以及技术架构图，确保投标方案具有技术先进性和成本竞争力；为销售团队提供技术支持，参与与客户的技术交流会议，向客户清晰阐述解决方案的价值与优势，解答客户的技术疑问，引导客户需求 。
 3. 项目实施与推进：作为技术负责人参与项目实施过程，协调内部研发、测试、运维团队以及外部合作伙伴，确保项目按照既定方案和时间表顺利推进；在项目实施中，及时解决出现的技术难题，保障项目交付质量，满足客户对系统性能、稳定性和功能的要求 。
 4. 行业研究与创新：持续关注能源电力行业的数字化发展趋势、政策法规变化以及新技术应用，如区块链在电力交易中的应用、人工智能在电力故障预测中的应用等；结合行业动态和客户需求，推动公司能源电力数字化解决方案的持续创新和优化，提升公司在该领域的技术地位和市场竞争力 。
三、","1. 教育背景：本科及以上学历，电气工程、电力系统及其自动化、计算机科学与技术、软件工程、信息与通信工程等相关专业 。
 2. 工作经验：5年以上能源电力行业数字化解决方案相关工作经验，有与国家电网、国家能源数据中心等大型能源机构合作项目经验者优先；熟悉能源电力行业的业务流程，包括发电、输电、变电、配电、用电以及电力市场交易等环节 。
 3. 专业技能：掌握数字化和信息化相关技术，如大数据分析与处理技术（Hadoop、Spark、Hive等）、云计算技术（AWS、Azure、阿里云等）、人工智能技术（机器学习算法、深度学习框架等）；熟悉电力系统相关标准和规范，具备电力系统建模、数据分析和优化算法开发能力；熟练使用Visio、Axure、PowerPoint等工具进行方案设计、原型制作和汇报展示 。
 4. 能力素质：具备优秀的沟通协调能力，能够与不同部门、不同层级的人员进行有效沟通，包括与客户高层进行技术和业务交流；拥有较强的问题解决能力和抗压能力，能够在复杂项目环境中迅速解决技术和业务问题；具备良好的团队合作精神，能够带领团队共同完成项目目标；有较强的学习能力和创新意识，能够快速掌握新技术、新方法，并应用于实际工作中 。
 查看全部",数据分析 / 算法 / jQuery / 英语 / 深度学习 / Go / React / 机器学习 / CSS / 沟通协调 / PMP / AI / HTML / UG,人工智能,https://www.liepin.com/job/1977426315.shtml
1238,猎聘,能源/化工/环保,输电,销售工程师,企业,上海海能信息科技股份有限公司,100-499人,上海-浦东新区,上海-浦东新区,上海-浦东新区,7-15k,大专,3年以上,20260610083237,15薪 / 通讯津贴 / 餐费补贴 / 13薪 / 弹性工作 / 双休 / 14薪 / 带薪年假 / 五险一金 / 居家办公 / 发展空间大 / 住房补贴 / 交通补助 / 定期体检 / 绩效奖金 / 五险,"：
面向全国电力行业大客户（国网/南网）和变电、输电、配电智能监测类专业解决方案和产品，开展商机捕获、客户开发、项目运作、客户订单执行管理工作，具体负责：
1、负责开展市场调查，实施客户分析、目标客户梳理和竞争分析，为公司的产品规划和销售策略提供支持。
2、负责承接团队业绩目标，制定客户开发、项目管理、销售与服务计划与策略，执行项目过程工作报告，推动项目落地和销售目标实现。
3、负责组织开展必要的客户技术交流和服务，实施解决方案和产品及公司品牌推广工作。
4、负责客户订单获取，组织落实客户订单交付、服务，执行销售回款。","1、大专及以上学历，3年及以上电力行业大客户销售工作经验。
2、熟悉电力行业业务模式和项目管理流程，具有客户项目开发或维护的成功经验。
3、乐观自信，结果导向，具备强烈的进取心。良好的服务意识、人际互动、市场洞察、商务谈判和应变能力。
【注：适应出差，可居家办公模式；月薪+销售业绩奖金模式，上不封顶】
 查看全部",jQuery / Go / React / CSS / PMP / AI / HTML / 项目管理 / UG,仪器仪表,https://www.liepin.com/job/1977355161.shtml
1239,猎聘,能源/化工/环保,输电,测量工程师,企业,上海电力设计院,500-999人,上海市,上海,上海,15-25k·13薪,本科,3-5年,20251230135614,手机与通信补贴 / 通讯津贴 / 技能培训 / 13薪 / 管理规范 / 食堂 / 14薪 / 带薪年假 / 五险一金 / 定期体检 / 500强 / 行业稳定前景好 / 五险,"：
1、从事能源建设项目场地的勘查与测量专业技术工作，主要开展以对专业分包的校核、审核工作；
2、项目地点类型复杂，可能涉及全国各地不同地形需要；也有海外项目需求；
3、项目对象以变电站、光伏场、风电场、输电铁塔为主。
4. 精通工程测量 摄影 航空测量","1、有注册测绘师证优先；
2、有同类项目工作经验3年及以上；
3、能吃苦，可接受出差。
 查看全部",jQuery / Go / React / CSS / PMP / AI / HTML / UG,电子/半导体/集成电路,https://www.liepin.com/job/1961271107.shtml
1240,猎聘,能源/化工/环保,输电,储能结构工程,企业,上海轩邑,10000人以上,上海-嘉定区,上海-嘉定区,上海-嘉定区,15-30k·13薪,本科,5-10年,20260105093904,15薪 / 13薪 / 16薪 / 18薪 / 14薪 / 外派津贴 / 海归补贴,"职责表述：设计与开发
工作
任务 1. 负责模组电池包的整体设计，根据项目需求，提供定制化PACK、固定支架、高压盒等技术方案；
2. 负责电池产品三维建模，负责产品设计的3D和2D图纸以及BOM输出；","3. 参与产品试制与测试验证，输出结构/电气改进方案。
4. 项目前期技术支持、储能项目现状安装、调试、测试及解决相关技术问题。
5. 编制技术文档（BOM、SPEC、装配工艺文件）。
6. 跟踪储能、电动船舶行业动态，推动产品迭代升级及相关标准的研究。
 内部协调关系 与电池安全、电池产品等专业设计团队成员密切协作；与岸基输电部、AI平台部等设计团队成员密切合作； 与采购、运营、质检部门进行技术对接。
外部协调关系 船级社验船师、科研院所、设备供应商技术代表
 教育水平 大学本科以上
专业 机械工程、自动化等相关专业本科等相关专业， 
培训经历 精通储能、船舶电池相关设计规范（如CCS、BV、LR、欧标美标等）
经验 2-3年以上储能电池Pack或相近行业结构设计经验相关设计经验，完整参与过储能系统设计或电站交付等项目
基本知识 规章制度、公司文化、工作流程、公司产品知识等
专业知识 精通CAD、CATIA等设计软件，熟练掌握电动船舶电池产品设计规范、熟悉国内外储能行业标准（GB/T 36276、UL 9540A、IEC 62933）及区域并网要求，有产品认证推进经验者优先。
基本技能 精通CAD、CATIA等设计软件；可熟练阅读外文文献、可进行英语交流， 
专业技能 整体设计能力、创新能力、沟通能力、组织协调能力等
潜在能力 学习能力、人际理解能力、抗压能力、周密思考能力、适应能力
基本素养 诚信、责任感、团队合作、服务意识、敬业精神、廉洁、保密意识
特殊素养 具备强烈的责任心、严谨的工作态度、出色的分析问题和解决问题的能力
 查看全部",jQuery / 英语 / Go / React / CAD / CATIA / CSS / PMP / AI / HTML / UG,新能源,https://www.liepin.com/job/1979525693.shtml
1241,猎聘,能源/化工/环保,输电,工程产品集成优化-电气（薪资面议）,企业,远景科技集团,5000-10000人,上海-黄浦区,上海-黄浦区,上海-黄浦区,1-2k,硕士,8年以上,20260526172356,15薪 / 年终奖 / 休闲餐点 / 13薪 / 16薪 / 14薪 / 带薪年假 / 五险一金 / 定期体检 / 年终奖金 / 绩效奖金 / 五险,"1.负责电力系统下辖各类型新能源（陆上风电、海上风电、储能电站、光伏、绿电直连、零碳园）工程产品与技术模块的总集成与优化管理工作；
2.负责以新能源电气技术为基础开展电网与接入、主设备模块与输变电工程各模块的全链条集成方案，包括产品模块集成降本解决方案和产品交付与安装实施过程的优化管理；
3.负责新能源工程变电与输电和主设备模块间的集成产品开发和降本管理工作，提出集成产品需求、开发方向和产品应用反馈，督导集成产品优化迭代；
4.负责在各工程模块基础之上建设新能源电气工程集成产品和优化的技术管理流程和业务评价管理框架；
5.负责完善从电气技术到设计方案，从模块方案到集成方案，从方案到交付安装调试落地实施转化的端到端全过程管理；
6.负责以集成优化降本为目标牵引公司设备产品开发团队和工程设计团队的统筹管理。","1.统招硕士及以上研究生学历，985或211高校，电气工程、电力系统、高电压、自动化及相关工程专业，条件特别优秀者可适当放宽；
2.工作年限8年以上，至少具备5年以上新能源工程设计经历，有工程项目管理经验和技术总工工作经历更佳；
3.具备新能源场站电气一二次设计能力，较深层次的电气专业技术功底；
4.熟悉国家与电力行业电气专业相关标准、规范和强条，掌握工程施工、安装和验收质量标准及规程；
5.具有风电机组、储能设备与工程电气接口管理以及电网接入系统技术则更佳；
6.具有较强的逻辑思维能力、创新能力、管理能力、系统架构能力；
7.获得多专业注册证书及正高职称者优先。
 查看全部",jQuery / Go / React / Java / CSS / PMP / AI / HTML / 项目管理 / UG,新能源,https://www.liepin.com/job/1982885281.shtml
1242,猎聘,能源/化工/环保,输电,自动化测试（Python，通讯规约/继保/电力系统）,企业,欧立腾中国(Alten China),1000-2000人,上海-浦东新区,上海-浦东新区,上海-浦东新区,11-20k·13薪,统招本科,3年以上,20251219141610,远程办公 / 上市公司 / 13薪 / 公司规模大 / 五险一金 / 年底双薪 / 带薪年假 / 14薪 / 五险,"：
3个方向会任一种就可以
1.电力继电保护产品功能、性能验证测试
2.电力系统继电保产品通信规约 验证测试（Modbus,61850,103,101,104,DNP3.0）
3.自动化测试，熟悉C#/C/python等任意一种编程语言
岗位职责：
1. 审查分配的要求以确保可测试性。
2. 创建指定的测试用例和对测试团队成员创建的测试用例进行技术评审。
3. 创建指定的自动化测试用例。 测试用例应该产生自动化测试结果。
4. 执行测试用例和调试测试。 更新测试管理工具中的测试用例描述。
5. 记录测试过程中发现的缺陷，以加快开发人员的补救工作。 
6. 生成总结测试报告，确定所进行的测试以及记录结果和缺陷。
7. 及时了解测试设备技术，工具和流程的最新发展","1.本科及以上学历，计算机/测控/自动化/电子工程相关专业。
2.熟悉至少一种高级语言编程经验，如C / C++/ Python / Labview / VB /TCL，偏向于pc端工具测试的
3.了解Modbus/CANOPEN/EtherNet/Profibus等工业通讯协议（了解IEC 61850 / 101 / 103 / 104 等通讯规约更佳）
4. 在基于windows的系统测试、性能测试和自动化测试方面经验丰富基于MS的应用程序
5. 与微处理器设计相关的电子产品开发过程的工作知识基于实时嵌入式软件的测量和控制应用的系统
6. 熟悉产品测试、功能、通信和环境的如电源、数据采集、通信端口等。
7. 输电和配电行业操作实践的知识，尤其是变电站环境中的保护继电器应用及其网络
8. 数字保护继电器测试或技术支持或研发经验，电力系统中的测量、控制智能设备或scad，有使用Omicron测试保护和控制功能经验者优先，有通信协议测试或客户现场调试经验者优先
 查看全部",数据分析 / 算法 / jQuery / Python / Go / React / C# / CAD / CSS / PMP / AI / HTML / 项目管理 / C++ / UG,专业技术服务,https://www.liepin.com/job/1968203535.shtml
1243,猎聘,能源/化工/环保,输电,储能电气工程师,企业,上海轩邑,10000人以上,上海-嘉定区,上海-嘉定区,上海-嘉定区,14-20k·13薪,本科,2-5年,20260123163102,15薪 / 13薪 / 14薪 / 外派津贴 / 海归补贴,"职责表述：工作任务 1.负责储能电池包、系统高压部分的整体电气方案设计，包括系统架构、电气原理图、接线图绘制等，确保系统满足功能和安全要求。
2.负责储能系统一次接入、配电、高压汇流、PCS等设备电气系统。
3.高压电气元件选型、整定及评估，包括断路器、接触器、继电器、熔断器等，确保其符合设计要求和安全标准。
4.储能项目前期技术支持、储能项目现状安装、调试、测试及解决相关技术问题。
5.跟踪储能、电动船舶行业动态，推动产品迭代升级及相关标准的研究。
工作协调：
内部协调关系 与电池安全、电池产品等专业设计团队成员密切协作；与岸基输电部、AI平台部等设计团队成员密切合作； 与采购、运营、质检部门进行技术对接。
外部协调关系 船级社验船师、科研院所、设备供应商技术代表","教育水平 大学本科以上
专业 电气工程、电气自动化、机械及自动化等相关专业 
培训经历 精通储能、船舶电池相关设计规范（如CCS、BV、LR、欧标美标等）
经验 2-3年以上储能系统电气相关设计经验，完整参与过储能系统设计或电站交付等项目
基本知识 规章制度、公司文化、工作流程、公司产品知识等
专业知识 ​​精通CAD、CATIA等设计软件，熟练掌握电站设计规范、熟悉国内外储能行业标准（GB/T 36276、UL 9540A、IEC 62933）及区域并网要求，有产品认证推进经验者优先。
基本技能 精通CAD、CATIA等设计软件；可熟练阅读外文文献、可进行英语交流， 
专业技能 整体设计能力、创新能力、沟通能力、组织协调能力等
潜在能力 学习能力、人际理解能力、抗压能力、周密思考能力、适应能力
 查看全部",jQuery / 英语 / Go / React / CAD / CATIA / CSS / PMP / AI / HTML / UG,新能源,https://www.liepin.com/job/1979970485.shtml
1244,猎聘,能源/化工/环保,输电,储能认证工程师,企业,上海轩邑,10000人以上,上海-嘉定区,上海-嘉定区,上海-嘉定区,15-30k·13薪,本科,3-6年,20260105093627,15薪 / 13薪 / 14薪 / 外派津贴 / 海归补贴,"职责表述：开发与认证
1. 深入研究国内外船级社（BV、LR、DNV、CCS等）及欧标、美标等电池安全相关标准和法规。
2. 负责储能系统核心零部件的认证工作，向机构提交认证申请并跟进认证过程向机构提交认证申请并跟进认证过程。
3. 跟踪最新标准要求和变化趋势跟踪最新标准要求和变化趋势。
4. 认证相关申请材料编制，支持认证申请全生命周期。
5. 与认证机构建立良好关系与认证机构建立良好关系，有效沟通认证要求和进展。
6. 精准解读规范要求，并输出相关设计标准给设计部门。
工作协作关系：
内部协调关系 与电池安全、电池产品等专业设计团队成员密切协作；与岸基输电部、AI平台部等设计团队成员密切合作； 与采购、运营、质检部门进行技术对接。
外部协调关系 船级社验船师、科研院所、设备供应商技术代表","教育水平 大学本科以上
专业 电气工程、电气自动化、机械及自动化等相关专业 
培训经历 精通储能、船舶电池相关设计规范（如CCS、BV、LR、欧标美标等）
经验 2-3年以上储能系统相关设备及零部件认证经验，完整参与过储能系统设计认证项目
基本知识 规章制度、公司文化、工作流程、公司产品知识等
专业知识 精熟练掌握国内外电池安全相关标准和法规熟练掌握国内外电池安全相关标准和法规，能够准确解读并应用于产品设计和生产中能够准确解读并应用于产品设计和生产中；
熟练掌握电站设计规范、熟悉国内外储能行业标准（GB/T 36276、UL 9540A、IEC 62933）及区域并网要求，有产品认证推进经验者优先。
基本技能 精通OFFICE等办公软件；可熟练阅读外文文献、可进行英语交流，严谨细致 
 查看全部",jQuery / 英语 / Go / React / CAD / CSS / PMP / AI / HTML / 项目管理 / UG,新能源,https://www.liepin.com/job/1979525539.shtml
1245,猎聘,能源/化工/环保,输电,电力电子高级工程师,企业,远宽能源,100-499人,上海-杨浦区,上海-杨浦区,上海-杨浦区,30-45k·13薪,博士,经验不限,20260316105927,15薪 / 技能培训 / 13薪 / 14薪 / 五险一金 / 岗位晋升 / 带薪年假 / 发展空间大 / 定期体检 / 领导好 / 五险,"：
1.开展风光发电系统、储能系统、多电平系统（SVG, 柔性直流输电）的建模和仿真相关工作； 
2.开展新能源场站（含风光发电系统，储能，SVG） 等的建模，控制与仿真工作；
3.开展新能源并网、直流送出等电力电子化电力系统稳定性分析和仿真验证
4.协助公司进行电力与新能源的前沿科技研究，和合作单位一起进行科技项目申报和科技项目的任务完成；
5.为公司的市场和销售团队提供技术咨询","1.博士学历，电力，电力电子，电气等强电相关专业；
2.有过国家或者国网/南网的科技项目参与经验；
3.有丰富的编程和仿真软件的使用经验；
4.与人相处融洽，逻辑清晰，做事细致负责；
5.发表过电力电子相关的SCI科技论文
 查看全部",算法 / jQuery / Go / React / CSS / PMP / AI / HTML / UG,新能源,https://www.liepin.com/job/1969384915.shtml
1246,猎聘,能源/化工/环保,输电,箱式变压器测试技术专家,企业,华为,10000人以上,上海-青浦区,上海-青浦区,上海-青浦区,55-70k,本科,10年以上,20251027150040,13薪 / 15薪 / 14薪 / 16薪,"1、负责箱变产品系列整机系统集成测试标准解读，测试规范制定及重难点系统测试问题攻关等；
2、 箱变未来版本持续迭代，负责测试技术、测试手段、测试设计的优化迭代；
3、负责箱变测试质量深耕，结合周边领域能力，完善测试场景全覆盖；赋能测试团队，提高整个团队测试能力；","1、专业知识：机械、电气等相关背景，熟悉箱变产品系统架构和箱变应用标准；
2、具备箱式产品系统集成测试经验，熟悉相关测试标准和测试流程；
3、能够识别行业技术发展趋势，具备行业标准解读能力，并从设计和测试角度给出相关建议。
 查看全部",算法 / jQuery / Go / React / CSS / PMP / AI / HTML / UG,通信设备,https://www.liepin.com/job/1978025313.shtml
