序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）,岗位类型一级,岗位类型二级,"岗位类型
企业/公务员/事业单位/军队文职"
153702,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,,,杭州,苏州-昆山,学历不限,经验不限,20-30k·13薪,,,,https://www.liepin.com/a/75909147.shtml,20260609105447.0,,,,,,,
153703,猎聘,能源/化工/环保,化学,LNP 递送科学家/总监,猎头职位,某南京制药公司,100-499人,,杭州,南京-栖霞区,博士,1-3年,25-35k·14薪,,,,https://www.liepin.com/a/76275025.shtml,20260601171000.0,,,,,,,
153704,猎聘,能源/化工/环保,化学,知识产权经理,猎头职位,某南京医疗器械上市公司,5000-10000人,,杭州,南京-玄武区,统招本科,5年以上,25-40k·14薪,,,,https://www.liepin.com/a/76113395.shtml,20260527142354.0,,,,,,,
153705,猎聘,能源/化工/环保,化学,合成工艺研究员/高级研究员/科学家,猎头职位,某国内大型制药公司,10000人以上,,杭州,苏州,学历不限,3-5年,16-30k,,,,https://www.liepin.com/a/75453405.shtml,20260509113126.0,,,,,,,
153706,猎聘,能源/化工/环保,化学,电池失效分析工程师,猎头职位,某南京大型新能源公司,1000-2000人,,杭州,南京-江宁区,硕士,3-5年,20-40k·14薪,,,,https://www.liepin.com/a/76359605.shtml,20260609203854.0,,,,,,,
153707,猎聘,能源/化工/环保,化学,研发主管,猎头职位,某苏州制药公司,100-499人,,杭州,苏州,硕士,5-10年,20-35k·14薪,,,,https://www.liepin.com/a/76277245.shtml,20260608093542.0,,,,,,,
153708,猎聘,能源/化工/环保,化学,电芯研发主任工程师,猎头职位,某苏州新能源上市公司,5000-10000人,,杭州,苏州,硕士,5-10年,35-60k·18薪,,,,https://www.liepin.com/a/75612341.shtml,20260603173819.0,,,,,,,
153709,猎聘,能源/化工/环保,化学,非天然氨基酸研究员,猎头职位,某郑州其他生活服务公司,50-99人,,杭州,苏州,统招本科,3-5年,15-25k,,,,https://www.liepin.com/a/74358435.shtml,20260604092813.0,,,,,,,
153710,猎聘,能源/化工/环保,化学,电芯研发总监,猎头职位,某苏州新能源公司,100-499人,,杭州,苏州,统招本科,5-10年,50-60k·14薪,,,,https://www.liepin.com/a/76119591.shtml,20260603091438.0,,,,,,,
153711,猎聘,能源/化工/环保,化学,工艺/制程工程师(PE),猎头职位,某知名公司,,,杭州,苏州-昆山,学历不限,3-5年,13-20k·13薪,,,,https://www.liepin.com/a/75919261.shtml,20260605105324.0,,,,,,,
